Rank,School name,Name in Chinese,Country,AI Course,AI Program (Program names that include AI courses),AI  background Teacher name,Teacher Background Information,Link,,,,,,,,,,,,,,,,,,,,,
43,Temple University,天普大学,USA,"Data Journalism

Data Driven Insights","B.A in Journalism
M.S in Communication Management","
ARON PILHOFER

Kaitlin Fitzsimmons Pierce
Quaiser Abdullah（program director）","1)
History, History, University of Minnesota-Twin Cities
（Although he studied history, he works as a journalist, focusing on digitalization and journalistic innovation，new business models, digital transformation and innovation in news

2.1)
BA,English,Rutgers University
MEd,Educational Leadership,Temple Universit

2.2)
BA，Political Science, Religion and Asian Studies，Temple University
MA，Adult and Organizational Development，Temple University
PhD，Educational Psychology，Temple University","Major1 course https://bulletin.temple.edu/undergraduate/courses/jrn/

Major2 course https://www.temple.edu/academics/degree-programs/communication-management-ms-co-cmol-ms/required-courses

Major1 teacher
https://www.linkedin.com/in/aronpilhofer

Major2 teacher
https://klein.temple.edu/directory/kaitlin-pierce
https://www.linkedin.com/in/quaiser",,,,,,,,,,,,,,,,,,,,,
44,Radboud University Nijmegen,拉德堡德大学,Netherlands,"Programming for beginners: Python
AI in Action
Interactie-analyse",B.A. in Communication and Information Studies,J.P.C.L. van Aert,"1）M.S. in Communicatie- and Informatiewetenschappen, specialisatie Bedrijfscommunicatie en Digitale Media (Tilburg University)","https://www.ru.nl/opleidingen/bachelors/communicatie-en-informatiewetenschappen/studieprogramma-communicatie-en-informatiewetenschappen-jaar-2

https://www.ru.nl/personen/aert-j-van",,,,,,,,,,,,,,,,,,,,,
45,University of Antwerp,安特卫普大学,Belgium,"Information systems（Courses that belong to computer science）

Seminarie Web communication","B.A. in Communication Studies

Master of Communication Studies（Branches：Media Studies，Strategic Communication）","Jan Verelst

Steven Malliet","1）Ph.D. in Management Information Systems，the University of Antwerp

2）M.A. in Communication Studies and in Applied Computer Science, K. U. Leuven
Ph.D. in Social Sciences, K. U. Leuven","Major1
https://www.uantwerpen.be/en/study/programmes/all-programmes/communication-studies-programmes/bachelor/study-programme/

Teacher1
https://en.wikipedia.org/wiki/Jan_Verelst_(scientist)

Major2
https://www.uantwerpen.be/en/study/programmes/all-programmes/communication-studies-programmes/master/media-studies/study-programme/

Teacher2
https://www.intellectbooks.com/steven-malliet",,,,,,,,,,,,,,,,,,,,,
46,University of Haifa,海法大学,Israel,"N/A（There is no cross major of media and AI, but there is a cross major of media and law and sociology",N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
47,University of Iowa,爱荷华大学,USA,	Information and Data Visualization,B.A. in Journalism and Mass Communication,Melissa Tully,"BA,Communication/English,Boston College
MA,Journalism and Mass Communication,University of Wisconsin-Madison
PhD,Mass Communication,University of Wisconsin-Madison","https://catalog.registrar.uiowa.edu/liberal-arts-sciences/journalism-mass-communication/#coursestext

https://www.linkedin.com/in/melissatully",,,,,,,,,,,,,,,,,,,,,
48,University of Connecticut,康涅狄格大学,USA,"Online Journalism（Web news production with a bias towards interaction in web pages）

Multiplatform Editing/ The Editor's Craft（Data visualization construction in the course introduction, search engine optimization）

Computer Mediated Communication

Communication Technology and Social Change（I feel similar to our 7340AI for digital media）

Media in the Information Age

Presenting in the Digital World（fundamentals of applying computer-mediated communication skills）","BA in Journalism
BA in Communication","Crawford, Amanda
Serkosky, Julie	
Oeldorf-Hirsch, Anne
McGloin, Rory","1）
BA, Journalism, University of Maryland
MA, Mass CommunicationJournalism, Arizona State University - Walter Cronkite School of Journalism and Mass Communication

2）
BA, Journalism, The University of Connecticut
MA,Journalism, Quinnipiac University

3）
BA, Psychology, Portland State University
Ph.D., Mass Communications: Media Effects, Penn State University

4）
BA, Mediated Communication, Stonehill College
MA, Communication sciences, University of Connecticut
PhD, Communication Sciences, University of Connecticut","https://catalog.uconn.edu/directory-of-courses/course/jour/
https://catalog.uconn.edu/directory-of-courses/course/comm/
Teacher1https://www.linkedin.com/in/amandacrawford/
Teacher2https://www.linkedin.com/in/julie-sprengelmeyer-serkosky-3800869/zh-cn?trk=people-guest_people_search-card&original_referer=https%3A%2F%2Fwww.linkedin.com%2Fpub%2Fdir%2F%2B%2FSerkosky%2Fus-327-Hartford%2C-Connecticut-Area
Teacher3https://www.linkedin.com/in/anneoeldorfhirsch?original_referer=https%3A%2F%2Fwww.google.com%2F
Teacher4https://www.linkedin.com/in/rory-mcgloin-8468ab41",,,,,,,,,,,,,,,,,,,,,
49,"City, University of London",伦敦大学城市学院,UK,"Data Journalism
Introduction to Political and Economic Data Analysis
User Experience (UX) and Data Analytics
Data and the Social World
Quantitative Data Placement
Digital Changes and Challenges（Introduction to the social impact of the Internet and the convergence of previously independent broadcast, computing and communications technologies）","BA in Journalism
BA in Journalism, Politics and History
BA in Media and Communications
BSc in Media, Communication and Sociology","Mark Honigsbaum
Mattias Frey
Diana Yeh","1）BA and M.A.， Politics, Philosophy and Economics， Oxford University
Ph.D.， Philosophy (History)， University of London


","Course
https://www.city.ac.uk/prospective-students/courses/undergraduate/journalism#Year-2-link
https://www.city.ac.uk/prospective-students/courses?meta_level_sand=undergraduate+degree&meta_subject_sand=arts+and+media

Teacher
https://en.wikipedia.org/wiki/Mark_Honigsbaum
",,,,,,,,,,,,,,,,,,,,,
50,The University of Alabama - Tuscaloosa,阿拉巴马大学塔斯卡卢萨分校,USA,N/A（All traditional journalism and media curriculum,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
2023 QS World University Rankings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,University of Amsterdam,	阿姆斯特丹大学,Netherlands,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
2,University of Southern California,	南加州大学,Singapore,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
3,The London School of Economics and Political Science ,伦敦政治经济学院,UK,"Data for Data Scientists
",MSc Media and Communications (Data and Society),Dr Friedrich Geiecke,PhD in Economics from the London School of Economics and Political Science in 2020,https://www.lse.ac.uk/resources/calendar/courseGuides/MY/2022_MY472.htm,,,,,,,,,,,,,,,,,,,,,
